Season,Races,Constructor Points,Driver Points
1950,7,,36.0
1951,8,,36.0
1952,8,,36.0
1953,9,,36.0
1954,9,,45.0
1955,7,,45.0
1956,8,,45.0
1957,8,,45.0
1958,11,144.0,54.0
1959,9,120.0,45.0
1960,10,138.0,48.0
1961,8,120.0,45.0
1962,9,125.0,45.0
1963,10,150.0,54.0
1964,10,150.0,54.0
1965,10,150.0,54.0
1966,9,125.0,45.0
1967,11,225.0,81.0
1968,12,250.0,90.0
1969,11,225.0,81.0
1970,13,275.0,99.0
1971,11,225.0,81.0
1972,12,250.0,90.0
1973,15,325.0,117.0
1974,15,325.0,117.0
1975,14,300.0,108.0
1976,16,350.0,126.0
1977,17,375.0,135.0
1978,16,350.0,126.0
1979,15,375.0,72.0
1980,14,350.0,90.0
1981,15,225.0,99.0
1982,16,240.0,99.0
1983,15,225.0,99.0
1984,16,240.0,99.0
1985,16,240.0,99.0
1986,16,240.0,99.0
1987,16,240.0,99.0
1988,16,240.0,99.0
1989,16,240.0,99.0
1990,16,240.0,99.0
1991,16,240.0,155.0
1992,16,240.0,160.0
1993,16,240.0,160.0
1994,16,240.0,160.0
1995,17,255.0,170.0
1996,16,240.0,160.0
1997,17,255.0,170.0
1998,16,240.0,160.0
1999,16,240.0,160.0
2000,17,255.0,170.0
2001,17,255.0,170.0
2002,17,255.0,170.0
2003,16,288.0,160.0
2004,18,324.0,180.0
2005,19,342.0,190.0
2006,18,324.0,180.0
2007,17,306.0,170.0
2008,18,324.0,180.0
2009,17,306.0,165.0
2010,19,817.0,475.0
2011,19,817.0,475.0
2012,20,860.0,500.0
2013,19,817.0,475.0
2014,19,817.0,500.0
2015,19,817.0,475.0
2016,21,903.0,525.0
2017,20,860.0,500.0
2018,21,903.0,525.0
2019,21,924.0,546.0
2020,17,748.0,442.0
2021,22,968.0,567.5
2022,22,1013.0,596.0
2023,22,1058.0,620.0
