Season,Chassis,Engine,Nationality,Poles,Wins,Podiums,Fastest laps,Points,Clinched,Margin
1958,Vanwall,Vanwall,UK,5,6,9,3,48,10,8
1959,Cooper,Climax,UK,5,5,13,5,40,8,8
1960,Cooper,Climax,UK,4,6,14,5,48,7,14
1961,Ferrari,Ferrari,Italy,6,5,14,5,45,5,10
1962,BRM,BRM,UK,1,4,8,3,42,9,6
1963,Lotus,Climax,UK,7,7,9,6,54,7,18
1964,Ferrari,Ferrari,Italy,2,3,10,2,45,10,3
1965,Lotus,Climax,Italy,6,6,7,6,54,7,9
1966,Brabham,Repco,UK,3,4,9,2,42,8,11
1967,Brabham,Repco,UK,2,4,14,2,63,8,19
1968,Lotus,Ford,UK,5,5,9,5,62,12,13
1969,Matra,Ford,France,2,6,10,6,66,8,17
1970,Lotus,Ford,UK,3,6,7,1,59,12,7
1971,Tyrrell,Ford,UK,6,7,11,4,73,9,37
1972,Lotus,Ford,UK,3,5,8,4,61,10,11.8
1973,Lotus,Ford,UK,10,7,15,7,92,15,10
1974,McLaren,Ford,UK,2,4,10,1,73,15,8
1975,Ferrari,Ferrari,Italy,9,6,11,6,72.5,13,18.5
1976,Ferrari,Ferrari,Italy,4,6,13,7,83,15,9
1977,Ferrari,Ferrari,Italy,2,4,16,3,95,14,33
1978,Lotus,Ford,UK,12,8,14,7,86,13,28
1979,Ferrari,Ferrari,Italy,2,6,13,6,113,13,38
1980,Williams,Ford,UK,3,6,18,5,120,12,54
1981,Williams,Ford,UK,2,4,13,7,95,14,34
1982,Ferrari,Ferrari,Italy,3,3,11,2,74,16,5
1983,Ferrari,Ferrari,Italy,8,4,12,3,89,15,10
1984,McLaren,TAG,UK,3,12,18,8,143.5,13,86
1985,McLaren,TAG,UK,2,6,12,6,90,16,8
1986,Williams,Honda,UK,4,9,19,11,141,14,45
1987,Williams,Honda,UK,12,9,18,7,137,13,61
1988,McLaren,Honda,UK,15,15,25,10,199,11,134
1989,McLaren,Honda,UK,15,10,18,8,141,12,64
1990,McLaren,Honda,UK,12,6,18,5,121,15,11
1991,McLaren,Honda,UK,10,8,18,4,139,16,14
1992,Williams,Renault,UK,15,10,21,11,164,12,65
1993,Williams,Renault,UK,15,10,22,10,168,12,84
1994,Williams,Renault,UK,6,7,13,8,118,16,15
1995,Benetton,Renault,UK,4,11,15,8,137,16,25
1996,Williams,Renault,UK,12,12,21,11,175,12,105
1997,Williams,Renault,UK,11,8,15,9,123,16,21
1998,McLaren,Mercedes,UK,12,9,20,9,156,16,23
1999,Ferrari,Ferrari,Italy,3,6,17,6,128,16,4
2000,Ferrari,Ferrari,Italy,10,10,21,5,170,17,18
2001,Ferrari,Ferrari,Italy,11,9,24,3,179,13,77
2002,Ferrari,Ferrari,Italy,10,15,27,12,221,13,129
2003,Ferrari,Ferrari,Italy,8,8,16,8,158,16,14
2004,Ferrari,Ferrari,Italy,12,15,29,14,262,13,143
2005,Renault,Renault,France,7,8,18,3,191,19,9
2006,Renault,Renault,France,7,8,19,5,206,18,5
2007,Ferrari,Ferrari,Italy,11,9,22,11,204,14,103
2008,Ferrari,Ferrari,Italy,8,8,19,13,172,18,21
2009,Brawn,Mercedes,UK,5,8,15,4,172,16,18.5
2010,Red Bull,Renault,Austria,15,9,20,6,498,18,44
2011,Red Bull,Renault,Austria,18,12,28,10,650,16,153
2012,Red Bull,Renault,Austria,8,7,14,7,460,19,60
2013,Red Bull,Renault,Austria,11,13,24,12,596,16,236
2014,Mercedes,Mercedes,Germany,18,16,31,11,701,16,296
2015,Mercedes,Mercedes,Germany,18,16,32,13,703,15,275
2016,Mercedes,Mercedes,Germany,20,19,33,9,765,17,297
2017,Mercedes,Mercedes,Germany,15,12,26,9,668,17,146
2018,Mercedes,Mercedes,Germany,13,11,25,10,655,20,84
2019,Mercedes,Mercedes,Germany,10,15,32,9,739,17,235
2020,Mercedes,Mercedes,Germany,15,13,25,9,573,13,254
2021,Mercedes,Mercedes,Germany,9,9,28,10,613.5,22,28
2022,Red Bull,RBPT,Austria,7,17,28,8,759,19,205
2023,Red Bull,RBPT,Austria,14,21,30,11,860,16,451
2024,McLaren,Mercedes,UK,8,6,21,7,666,24,14
